Description$Keywords
five$five
rosalie atletic generous gentl strong funny smart pretty encouraging honest loyal energetic$rosalie, gentl, atletic, loyal, energetic
hello name travis selfish yup youngest four growing spoiled rotten good better good friend mine told suffer enoughness true adult better still feel urge inside always wanting got improvisation year ago drastically changed mindset living improvisation giving taking care everyone perform huge past year still performed improvisational comedian also launched life coaching corporate coaching performance coaching using principle improvisation company called live yes help individual team company discover brilliance life transforming commitment collaboration giving two year ago thanksgiving aha moment black friday next day sickened commercial craziness brilliant pun instead black friday celebrated rak friday imagine spending entire day community performing many random act kindness possible rak friday www rakfriday com born last two year inspired encouraged people around united state response awesome year want always spirit service rather selfishness family committed least one rak every day entire year want join u$improvisation, coaching, friday, year, rak
hello name rania really like read period quarantine read lot book reading book make time go faster know read ca va bien aller$read, book, rania, va, bien
hello would like share really inspiring story celebrity french bulldog london ontario canada famous goodwill philanthropy travelled way west virginia help save life man dying end stage kidney failure lovely feel good story inspiring people help need even mean crossing border hope might share story viewer watch video tell entire story http www youtube com watch v rj xcfkidbm thank$story, inspiring, watch, share, xcfkidbm
hello name gaminglina nice meet help people sad cry everything goodbye$gaminglina, goodbye, hello, meet, cry
help important life need help many time grandma need help climb stair moment coronavirus invaded planet everyone need help hospital need help many people infected coronavirus$need, coronavirus, help, invaded, infected
help important life need help many time grandma need help climb stair moment coronavirus invaded planet everyone need help hospital need help many people infected coronavirus whole world need help containment want good everyone thank people work work essential thank call grandparent everyone need support situation thank respecting rule two meter away cough elbow sneeze elbow stay home throw handkerchief please respect regulation government established save life u respecting thank$need, elbow, respecting, help, thank
help mom around house example washing clothes fold clothes tho bed etc$clothes, tho, fold, washing, etc
help someone drop something floor backpack hold door someone ask someone want sit wit$someone, wit, backpack, drop, floor
hey name fr rique dominique year old today tell good going pick rubbish street really lot waste put glove mask people walking street looking disgusted area found funny see reaction picked trash street also people bribed good next day went walk dog people picked waste getering street really proud good$street, waste, picked, good, rubbish
hey lorie story best teacher ever sure heard superman batman wonder woman etc another hero world happen know well actually teacher mr norman would swoop class every day song would play boogied would ixl know sound like normal fun loving teacher wrong see struggle anxiety attack like adjusting new situation whenever struggling help whenever sad pick back whatever happens weather teacher time every one else practically multitasking machine another thing inspires others follow dream whenever doubt want give asks want life giving letting running matter want achieve accomplish believe matter conclusion matter superhero defender others dancer century$teacher, whenever, matter, want, would
hey renata ukraine school involved rak movement like share story introducing wisdom september first visited friend soloshenko valentina mikhailovna grandmother became close friend never thought could love grandmother go house week wednesday love much come lesson day bring food also felt really needed attention human warmth call every day support word grateful support help story good team work helped get acquainted friendly interesting person valentina mikhailovna soloshenko$soloshenko, mikhailovna, valentina, grandmother, support
hi first want say thank people working hospital people essential service know difficult lot people keep spirit even hard day also want say thank people staying home sometimes want go outside family go restaurant thing like respect rule would done faster close text keep moral important help happy nice day stay home$people, want, keep, say, thank
hi everyone gabrielle show blog family first choose tell one thing love people family little sister like positive side father like funny big sister iove complicity choose another call someone family call family app zoom cousin birthday send power point like gift hope like hope like blog thanks$like, blog, family, choose, call
hi everyone nothing like joy giving deserves kindness one misfortune u planning start new tradition picking bun meat veggie custard international district saturday pm nice walk westlake area give away bun homeless bun cost low cent could good way feed people please feel free send email want join marinna yahoo com marina$bun, westlake, veggie, misfortune, marinna
hi everyone today make kindness put rainbow window even french important people see feel better every body know people difficult situation say hello people make kindness maybe person feel better$people, better, feel, french, rainbow
hi everyone today im going tell story created card bff party created card relation like passion tried imagine drawing color would like gave card liked happy$card, created, relation, bff, drawing
hi name morina like animal time help pepoles virus able help someone last year two solo school first believe going win someone else day perform person solo saved$solo, pepoles, morina, perform, someone
hi give gift grandmother give card lot rainbow rainbow bracelet love grandmother alone home bye$rainbow, grandmother, bracelet, bye, give
hi iam posting quartine want talk abaut act kindess niece taking care spend time dont even hears sting abot$quartine, iam, hears, abaut, sting
hi chlo time ago grandma came back mexico therefore forty grandmother athletic trouble staying home go grocery store pharmacy mother therefore going race place$therefore, chlo, pharmacy, forty, athletic
hi hannah year old kindness story niece house one time brother told niece wanted play minecraft little bit mean first saying brother made let play let play little bit confused play taught play taught walk run build walk door getting pet done happy helped someone know play game anything teach mean teaching nice made feel happy glad taught play minecraft$play, minecraft, taught, niece, bit
hi erica back story tell happen long long time go playing side lady next door left food cat went liked go see cat lady thing wen came see cat kitten siting rock eye still closed cat like went home asked mommy said next day kitten still rock asked mommy said yes happy went got named daisy first pet happy gave cat home people think cat bad think animal grate still love best pet ever hope liked story$cat, mommy, kitten, pet, liked
hi lovely one year ago low point chose kindness asked would like receive life right flower thought flower always make feel happy bought flower decorated jar made label popped around community randomly response magical message received warmed heart lifted spirit gave purpose lifting others small act wow still every fortnight year still fill heart much first day still get butterfly tummy leave flower around kindness truly amazing xxx$flower, still, tummy, lifting, fortnight
hi went visit friend daughter saw grocery struggling knew needed help yep nosy went store bought bunch grocery snuck house key gave put grocery denied knowledge$grocery, snuck, nosy, denied, yep
hi friday family order food restaurant week put little note door delivery driver something like cool keep smile everybody grateful decide let know good evening keep note put hide another person grateful hope inspire$grateful, note, keep, put, hide
hi aksinia story day happiness th march bingo happiness inspired write heartfelt letter best friend still read every half hour able renew friendship person offended also organized cozy reading family shared favorite music movie instagram$happiness, renew, offended, aksinia, heartfelt
hi liza ukraine march day happiness able join school bingo game helped understand happiness done deed close one firstly made breakfast family secondly made coffee every time grandparent asked thirdly gave younger brother postcard fourthly called aunt congratulated day happiness wrote good review favorite cafe organized family cinema also cooked goody relative also thanked teacher caring called classmate thanked l fulfilled parent brother dream$happiness, thanked, called, thirdly, postcard
hi nastya ukraine school organized bingo happiness th march like tell task big list good deed cross actual bingo accepted challenge wanted make close people happy first cleaned flat surprise parent time work wrote letter classmate said important much love next step call grandma life near quarantine visit really happy hear voice made cup cacao parent invited watch movie together really great make nearest people happy$bingo, happy, cacao, actual, parent
hi tyler back third story remember birthday december time story grandma name paula love death matter always rough time good time always keep alive open minded matter always always taught play use work nerf gun love death never forget mean world hostipal going rough time matter always guess trying say matter grandma one never get grandma mean everything$matter, grandma, always, rough, death
hi tyler big thing life already today come share story dad dad back problem several disc back breaking think dad going live much longer try help dad much give spending time friend playing sport help dad throughout life always loved spend time lot help dad play game pain know trained want say matter help make people life better$dad, help, life, disc, trained
hi alyona fifth grade live poltava ukraine school involved rak activity decided share story good person make life better tell beloved one name valentina bereznyak grandmother grandma adult family dad got sick died cancer mom passed away due liver problem grandmother became guardian twin sister elder brother protects raise u grandmother best keep u healthy strong smart prepares meal u wake six morning help u school want u become good people unbelievable caring love much inspires$grandmother, protects, unbelievable, liver, bereznyak
hi gena school suggested u join bingo happiness liked idea cooked breakfast grandma helped granny wish come true told loved hugged lot time$gena, granny, suggested, bingo, cooked
hi liza study th grade live poltava ukraine school told u rak big kindness decade like share story week ago valentine day school always gave valentine pleased receive valentine even nicer make send mine sent valentine schoolmate teacher pleased love bring joy people think l good job brought joy people happy$valentine, pleased, joy, schoolmate, liza
hi nastya ukraine school involved rak activity inspired share story one poem school volunteering unit crew senior person look take care visit every tuesday team take care amazing gifted person name maria year old writes poem come visit sit sofa listen big collection poem war family philosophical issue others every time visiting feel strong want write much poem upon time wrote poem unhappy love read anyone safely forgot reading poem maria asked u recite favorite poem poem written short silence stood read poem reading feel nervous felt free maria praised continued speaking life next time prepared surprise sat near usual ready listen maria stood read new poem really excited poem word advice dedicated one ever dedicated something grateful written verse$poem, maria, read, dedicated, written
hi sasha story bingo happiness idea school shared u th march day happiness turned really cool morning started cooking breakfast sister free time lesson called grandmother wondered told distant education system started family evening whole family watching movie tasting sweet made day made often$happiness, tasting, sasha, distant, started
hi sonia ukraine march school organized bingo happiness participated wanted make loved one happy first made dinner mom surprise work planned family fika would fika time drink coffee sweet share cozy talk bought lot sweet chose atmospheric movie invited join fika really cool made mom happy$fika, sweet, sonia, atmospheric, participated
hi story talk quote stick neighbourhood read package know would give exemples write good day worry happy positive would never regret king write want zo canuel$write, zo, exemples, canuel, regret
hi name riya incoming eighth grader mason middle school mason ohio exactly anything special share worth sharing back march said wanna something help others community decided start putting lemonade stand donate different charity around country first debut stand march th park made$mason, march, stand, riya, incoming
hi name vlada poltava ukraine n th grade deed started february th morning cat brought kitten house kitten want ran trash followed saw mother licking box returned home told mother went bin cat food turned kitten mom twisted foot day drove vet stayed day took kitten home took cat recovered drove home cat want compete love care chased away ran away together cat kitten find first asked neighbor knew anything cat kitten told saw cat going help thought homeless would find food mom really worried left food live outside feed day$kitten, cat, drove, food, ran
hi received random act kindness newsletter today fellow colleague retired attorney started educator enjoy teaching even though longer profession welcome opportunity teach grandchild youth senior adult church newsletter really put smile face brighten day thanked colleague sending also sent several friend family especially since today birthday one younger sister e olivia darden$newsletter, colleague, attorney, today, profession
hi going talk kindness one day first wake either go school p go school sunday routine help mother lot prepare lunch school prepare one thing mother prepare work also help brother pack bag mother leaf u school leaf brother arrive early duty student minute say hello everyone even know everyone come back class recess help little kid one animator th th th grade designated specialized technician school sometimes resolved small conflict comforted brought secreter office loved heart even annoying explain thing listening still love responsibility dinner rest least one hour relax pm returned home father brother father exhausted work took care brother take nap mother come back come back work always help supper brother preparing table eating time left someone asked something finally sleep exhausted heart full happiness$prepare, brother, mother, exhausted, school
hi kate march international day happiness able please closest people make family happy made nice card mom gave cooked dinner dad thanked said delicious also organized family movie theater prepared favorite cocoa cooky evening enjoy pleasing people giving warmth smile$pleasing, cocoa, warmth, theater, kate
hi name lisa beginning last week started period good deed february many country mark day random act kindness one deed visit child rehabilitation center child mental disorder child disadvantaged family happy seen long time wanted talk play addition game aim take picture child print photo give child day came went rehabilitation center along way created plan game went inside felt slight excitement wondered would interact took turn going class class would happy meet u fun played game face child showed sincerely happy took picture child toy soon photo pleased opportunity good support people need good definitely come back$child, rehabilitation, game, deed, photo
hi story covid stay home could save million life think going food appointment emeregencies thank much staying home together beat covid finally help family neighbour friend respecting social distancing thank much sandrine venne grade cole st jean de br beuf gatineau$covid, venne, gatineau, emeregencies, distancing
hi today feel proud wrote letter delivery driver read hope get sick stay safe thank awesome blog edmond$edmond, delivery, blog, awesome, safe
hi today choose kindness choose place rainbow window french important people understand think hope make people feel better$choose, french, rainbow, window, people
http facebook com story php story fbid id$fbid, php, story, id, http
http www com content news doctor celebrates random kindness day cover patient copays html$copays, celebrates, html, cover, content
http www youtube com watch v dtcxjmde dm feature youtu$dtcxjmde, dm, youtu, youtube, feature
hug mob minute free hug given anyone would like receive one fun make extra sign shirt people spontaneously join far gone several different community cincinnati offer rak wonderful give someone hug hugged year learned lot accepting others show kindness everyone even people want hugged helped compassion grow provide moment happiness many others$hug, hugged, mob, cincinnati, spontaneously
huge thanks dm builder helped today wickes wakefield initially offered help put sheet plasterboard car realised safely fit put truck delivered home knight shining armour helping damsel distress random kindness stranger$wickes, wakefield, plasterboard, damsel, builder
walking street homeless man ask dollar gave write thing$dollar, write, street, ask, homeless
always feel sad people homeless anywhere stay grandma gave homeless guy buck going store know right thing try help people homeless people$homeless, buck, people, anywhere, guy
always extra change pocket sometimes well going therapy go give change poor$change, therapy, pocket, extra, poor
always try good others whether homeless person someone love beach wish everyone best example started community service hour cleaning beach helping create free food box advise others smaller random act kindness$beach, smaller, advise, others, whether
always try help people feeling well tell thing positive$positive, feeling, try, tell, well
year old girl kindness finally decided conquer stage fright give kindness speech school decided bit research found website happy$fright, conquer, decided, speech, stage
something woman know little car car battery died wal mart parking lot pretty convenient place die think went back store purchased new battery rolled car shopping cart popped hood took tool box keep back began tentatively removing cable connection point well dressed man seemed way office noticed across lot came asked could use help gratefully stepped aside proceeded quickly deftly replace battery get way wonderful way use skill knowledge help another person$battery, car, use, way, wal
th grader befriended mt neighbor one time neighbor got ball became fiend turn knew another neighbor brother saw two neighbor became friend$neighbor, became, befriended, fiend, mt
banker recently elderly woman come overdrawn account$overdrawn, banker, account, recently, elderly
banker recently elderly woman come overdrawn account$overdrawn, banker, account, recently, elderly
huge lover coffee know fact son teacher well trying bring coffee whenever go classroom something show appreciation hard work dedication$coffee, lover, dedication, appreciation, fact
junior high school sixteen year old know feel like bullied depressed anxiety filled know feel like good enough average people school never failed remind get want help everyone ever felt like become happier better person taylor coronado joined random act kindness longer want feel like le human$like, feel, coronado, average, sixteen
mom autistic child although high functioning something set epic one day one epic afternoon tired overwhelmed left grocery store get candy asked toy go full meltdown mode made way store quickly could threw grocery van proceeded try get cart car like cat put bathtub stretched arm leg could wiggle vehicle woman next loud enough hear said need learn control child meltdown ensuing crowded parking lot fear running woman word began cry tried best hide control emotion continued fight corner eye saw young gentleman running toward every special need mother fear thought going give two cent matter well surprise held multi colored tennis ball waving front son telling magic power would able see took home handed son ball able get car took shortcut get home gentleman forever thought brief moment took made difference kindness$meltdown, epic, fear, gentleman, control
second grade teacher student learning economics budget save money sharing day saving money student shared shared saving money know daughter life pennsylvania one california told save money visit daughter next day student angel come one dollar bill asked said trip could take plane see daughter overwhelmed emotion told angel heart full kindess told saving growing save money later day going basket paper noticed dollar really wanted sweetest thing ever one sweetest boy class thank listening story sincerely joan perugini$saving, money, save, daughter, sweetest
senior msu denver industrial design program senior thesis based sharing building community right home gardening sharing people busy move often causing feel disconnected live small hub allows one garden share book may help connect inspire passerby participate help open potential lie u within community test prototype built front yard clayton neighborhood denver$denver, senior, sharing, community, prototype
server local red lobster restaurant yesterday woman approached pay$lobster, server, approached, red, restaurant
always trying find way help others around never take time got terrible news told cancer know friend mine vonnie took charge last year whole time surgery checkup blood work vonnie rock new sister love husband everything wish way could pay forward tight budget man found cancer brother vonnie want pay love received another cancer patient idea folk family special want know special$vonnie, cancer, special, pay, checkup
avid ohio state buckeye fan realized coming california rose bowl excited due four surgery two hospitalization past month knew would able nagivate venue big surprise new friend whose dad went game brought beautiful treasured scarf presented local community event$treasured, nagivate, buckeye, hospitalization, venue
going today helping people finish work spanish telling people dumb$dumb, spanish, finish, telling, people
gonna compliment one person today pretty sick jacket compliment sick jacket$jacket, compliment, sick, gonna, pretty
honest lie tell people fact never lie people even hurt$lie, honest, fact, hurt, people
want somebody make day bad mad sad smile every day people happy person$somebody, mad, day, sad, bad
originally minot nd year old used battle anxiety bad afraid house night came husband lost house minot flood lived fema trailer year rebuilt used positive person would many time see bad good thing changed last fall came idea write book reach idol ellen degeneres wrote edited self published via create space week received harsh star review thought start something big minot came fast positivity launched facebook december th purpose bring community together diversity without fear judged age weight race job title income also recognize inspiring individual minot area struggling would never know unless asked also wish spread positivity leader motivate others follow dream feel though many people wait thing fear opinion longer afraid people think finally believe right recognizing person week sharing story website facebook page received several donation others inspired wait see effect$minot, afraid, fear, positivity, wait
reading internet new world follow pandemic newspaper looking documentary animal$documentary, newspaper, internet, pandemic, follow
became quiet year old little girl father passed away heart attack sleep emotionally shocked short conversation mexican family culture taught talk father death work grieving loss daddy little girl could left youngest thirteen sibling born raised mexico father passed family could longer make end meet migrate california monterey county known agricultural salad bowl america started new life sixth grade learning new culture language speak without financial stability family district seemed posse teased bullied difference including wearing hand down salvation army wanted accepted others live lesson father tried instill respectful everyone respect others way like respected taught stick value saying older understand always greet others pas never know going smile may bring joy need still roller coaster emotion fight heart adult practice lesson daily every morning get school work make sure greet every person pass smile loving memory father nicolas serrato naranjo michoacan mexico$father, mexico, greet, culture, lesson
began service learning project teach student kindness community member student severe profound multiple disability many time involved community activity wanted way connect academic transition skill community make craft greeting card resident local nursing home personal school bus driver client local food bank school faculty student art something enjoy currently kindness tree set faculty lounge share button positive saying mission simple put smile someone else day$faculty, community, student, local, transition
bought box pizza domino gave box homeless people$box, domino, pizza, bought, homeless
bought stranger food moved florida hurricane harvey$harvey, hurricane, florida, moved, stranger
call aunt happy hear talk know know ezemple pregnant$ezemple, pregnant, know, aunt, hear
call grand mother georgette hello hello good call know feel ok tank attention covid ok grand bye bye$bye, grand, ok, hello, call
call grandparent pleasure hear ask answer love grandparent grandmother go house always cook delicious meal grandfather love tickle u make u laugh call grandparent often important hear especially coronavirus pandemic felix guilbert$grandparent, hear, call, tickle, guilbert
called cousin see quarantine life different country wanted know like country surprised called cause never call cousin unless emergency said everything good excited go back good kindness$country, cousin, called, unless, emergency
called dad alone want take news told day make smile house made food$news, alone, called, house, dad
called grandpa hear alone residence let get bored decided talk grandfather fine still bored cannot see anyone cannot go dinner friend residence miss lot$residence, bored, cannot, grandpa, grandfather
cant see mom virus facetime every night$cant, facetime, virus, night, see
care helping people need one simple way think someone add kindness world giving homeless needy something like thi get tingly feeling call kindness feeling kindness feeling favorite feeling ever believe world need kindness give kindness spread believe kindness necessity body without kindness world sad every year pay forward project one year collected donated towel local animal shelter another year made breakfast police little raised$kindness, feeling, world, believe, year
carry plastic poncho car plus yellow rubber raincoat father law thing died took community kitchen rainy day gave people getting soaked$rubber, raincoat, poncho, soaked, yellow
chose dad ever problem first talk also help study help homework$chose, study, homework, problem, help
chose pick piece trash street find important iceberg melting also animal coral dying animal planet disappearing help help planet please pick waste street thank$planet, animal, street, pick, iceberg
coleced rockes painted wrote nice message put rock allover neighber hood without contact anione$rockes, neighber, coleced, anione, allover
created camp girl want change world kindness$camp, created, change, girl, world
decided prank friend tell want friend anymore sent long paragraph saying one closest friend would take bullet anytime thing falling apart really touched heart day made want cry tear happiness$prank, friend, paragraph, anytime, falling
decided try new bakeware made cake time wanted surprise family made three tier caramel cake great surprise brother father made day delicious made u feel good patrick v quinlan$made, cake, surprise, tier, quinlan
kindness rock took rock cottage peinted decorated wrote kindness message$rock, peinted, cottage, decorated, kindness
activity brother$activity, brother
bread lovely mutter help learn sourdough starter funny sourdough need lot love need feed every day need ten day used even ten day need feed every day need put outside sourdough equal starter feed equal composite sourdough simple made water flour put hard work hard never taste sourdough bread know good memory bakery belfast$sourdough, feed, need, starter, equal
charity mom every year felt happy time people receives thing cause useful people need$useful, receives, charity, cause, people
dont story sharing caring$dont, sharing, caring, story
dont know say might seen wrong saw someone side bridge saw like people holding back jumping changed saw still good world besides bad thing happening$saw, jumping, bridge, besides, happening
really anyone like friend go middle school went elementary like therapist also good talk miss hang sometimes problem school come way solve problem almost every time problem though always back$problem, therapist, solve, hang, school
dropped ton paper friend started pick spreaded everywhere random people started pick brought$pick, spreaded, started, ton, everywhere
filled kid drink bottle$drink, bottle, filled, kid
forgot name video video still really wholesome video elderly man stop driving car parking roadkill man bouquet hand laid dead animal really sweet$video, roadkill, wholesome, man, laid
found cat park collar writing address found lived gave gentleman happy$found, collar, address, gentleman, writing
found lost puppy slightly smudged tag collar could read tag said lulu figured puppy must lost walked house lulu asked mom could make poster help find lulu owner mom happy help printed poster right away put poster neighborhood waited lulu two hour later received phone call caller delighted lulu safely home mom took lulu owner lulu barked happiness arrived happy see owner lulu looked happy also$lulu, poster, owner, tag, puppy
found recently single somehow left overall feeling gratitude may made good couple handful reason learned stop judging others life rather learned appreciate others life also learned best way feel better help others difficult fully love accept might saved life going best pas tool troubled folk cross path life$learned, life, others, troubled, handful
gave homeless family smile return$return, homeless, smile, gave, family
gave carde hospitle$hospitle, carde, gave
gave homeless person money$homeless, money, gave, person
gave younger child pencil work one$pencil, younger, child, work, gave
gave freind gum week beacause best freind love priceless gave candy evryone asked said thanks hugged thats need$freind, evryone, beacause, priceless, gave
gave friend gift$gift, gave, friend
gave friend piece candy$piece, candy, gave, friend
gave grandma note said love grandma infinitely loved$grandma, infinitely, note, loved, gave
give gift card friend love nice$gift, card, nice, give, love
give money homeless$homeless, money, give
go little brother bedroom take care name l onard five year old love l onard full energy smart cute excited sometimes help parent busy working love spending time little brother$onard, brother, bedroom, little, cute
go mom preschool volunteer help kid scared certain thing kid mental disability help throughout day help go sleep nap time play outside feel happy$kid, help, nap, preschool, certain
got picked school went home home put sibling valentine bag plus also helped baby sister set table$home, plus, sibling, valentine, table
grew abusive home father monster mother enabler stupidly prayed baby sister eleven year later given apryl say stupidly rather selfish ask another person suffer environment completely toxic eleven year old time really thinking bad idea anyway baby sister still year old notice father beginning thing baby sister started realized going develop horrifyingly bad something done went friend told tell police knew reported police even though knew mother would hate knew others family would believe think rebellious teenager even though long time wanted kill felt though destroyed family fabulous thing sister fine today see therapist abuse suffered hand father never take depression medicine wondering sister job protect memory cause become ill think adore sister want best today always thank god reported father late even though terrible relationship mother side family day regret thing would heartbeat heck think bad guy$sister, father, though, stupidly, eleven
cycling accident erasmus year switzerland face bloody bandage across nose mouth weekend went boulangerie stranger bought pain au chocolat disappeared could say thank$switzerland, erasmus, cycling, boulangerie, bloody
friend bully got name called bothered everyone class make go faster also keep feel hurt thing odd$odd, bothered, faster, bully, hurt
lot depressing thought felt really bad break one day best friend came house let cry shoulder left dm open vent always knew say person house birthday started feeling lot better always thank thanks belle$belle, house, dm, depressing, vent
pet dog name peter leave house alone would tare de pillow aparts always call bad dog idea put spy camera house especcely couch came back home see couch tared apart took every camera called peter realised everything going bad saw tried find food toy blanket said sorry peter cause bored doesnt id buy bone made dog food inside ever since day l come home saw bored yeah thats storie english class creat random story sarah$peter, couch, camera, dog, bored
helped mom dish cleaning house help brother dog helped injured cat never hurt anyone anything$injured, helped, dish, cat, cleaning
first son living apartment time received package mail addressed unit opened found brand new iphone gum tea box small towel item note mother care package son read letter began cry son left moved away call home last address last amount money used put together package including phone course closed package wrote letter back saying son felt pain mothrr shipped package back return address week later received letter course cried even time included sweet gesture returning package giftcard target use item son today always remember lady wonder ever happened son$package, son, letter, address, item
promised take friend somewhere nice make birthday decided take friend steakhouse dinner since buy anything birthday previous month know steakhouse expensive$steakhouse, birthday, previous, take, expensive
something really great happen back november getting$november, happen, getting, great, something
surgery knee crutch week ancient civilization teacher trash stair classroom leaned picked made day even though crutch still picked trash help teacher$crutch, picked, trash, civilization, ancient
chance watch hugo eunice yonathan moya risk safety take love hurting people across border rio grande valley love looked like smile hug taco hygeine kit interaction let marginalized people know loved forgotten beautifully$yonathan, rio, moya, marginalized, hygeine
many stuffed animal get rid still loved every two month mom give food clothes toy else big brother organization pick bag porch big brother organization help kid money poor helped giving favorite teddy bear portion donation sold saver allowing organization fund several program sad loosing stuffed animal made feel good warmed heart kid toy could enjoy felt good$organization, stuffed, toy, animal, big
witnessed fair wanted go ride scared sister said go scared anymore$scared, fair, witnessed, go, ride
hae alot elderly neighbor sixty high aunt said dont help elderly neighbor shovel drive lane step dont fall hurt break bone ask money$dont, elderly, neighbor, sixty, hae
halp mom grocer$halp, grocer, mom
handed ticket said good afternoon bus driver stopped looked second said twenty people entered bus none said word good afternoon kid$afternoon, bus, said, entered, twenty
hav yeah ola love heat lasagna favorite sport si ici skeating$skeating, ola, lasagna, ici, hav
dog first dog black chow chow name ninja dog german shepherd dexter always play watch movie together dexter ninja get along time ninja moody dog want bother sleeping dexter love belly rub lot love spending time$dexter, ninja, dog, chow, shepherd
fear death thanatophobia hospitalized mere fact lying hospital bed confined dextrose undergo surgery one greatest fear life successfully overcome survived week truly nightmare undergo knife open part body giant lipoma right arm kilo fatty tissue kept past year since underwent physical emotional mental spiritual healing transformation long rigorous process ready inside total surrender god fear gone sister irene beside day confinement hospital watching taking care together partner decsan support someone hold back strength arm use left arm dextrose wound lab test right arm operation dearest bff kawi together alain driver runner treasurer secretary helper auditor production assistant rain shine make situation easy comfortable watcher almost hour mri magnetic resonance imaging experience placed inside coffin midnight leaving family behind doctor appointment hospital visit thank help kindness unconditional selfless love$arm, fear, undergo, dextrose, hospital
friend job since july heard job posting encouraged apply last week found selected position grateful message sent uplifting good feeling help friend find work place know enjoy$job, apply, uplifting, selected, posting
brief story photo submit submit also find user name huge lisst ruth varner yahoo com$submit, varner, lisst, yahoo, ruth
young neighbor play every week together want help learn play kid$play, neighbor, learn, young, together
always liked people believe god bring u world walk around heel drive expensive car blessed blessing know sure today someone enough pay college fee mom could afford truly grateful story$heel, fee, expensive, blessing, afford
always seen grandmother give people much would open home complete stranger anything could help person would matter kid would tell help everybody still tried anyway even much would still find way help someone else always told get older wanted like always wanted reach help elderly helping parent take care got ill knew wanted found job home health care started taking care elderly even gave home moved mother daughter needed someone time could adore taking care older people$care, would, wanted, elderly, home
struggling anxiety depression currently process changing med nearly hour since sleep sitting doctor clinic bit upset sniffly waiting see doctor lady sitting opposite asked ok wanted hug hesitated said ok say well need hug look like need one got hugged middle doctor clinic random cheered bit thankful later introduced caroline caroline hugger haha said pretty much like james bond say extremely greatful caroline brightening morning$caroline, doctor, clinic, ok, sitting
recipient random act kindness story lunch burger king eaten went car parking lot discovered flat tire guy car saw flat tire immediately came aid hey got portable tire inflating device added air tire could drive repair shop ill pneumonia appointment see family doctor decided leave early enough could stop breakfast prior appointment go fast food restaurant order breakfast assistant manager took order stated got one insisted paying breakfast walking dog summertime suddenly short intense thundershower began woman garage garage door open invited dog come garage take shelter thundershower visiting reykjavik iceland one evening walking back condo unit staying dark street covered snow also icy slipped fell street easy fall hurt got fall gentleman walking behind quickly came check ok thanked stated fine shortly visit driver small pickup truck also behind also stopped check ok$tire, garage, thundershower, breakfast, stated
call grandpa today birthday go house coronavirus region closed tank$region, tank, coronavirus, closed, grandpa
helped friend picking get heart take nerse get ice pack sometimes thatis story kindness$thatis, nerse, pack, ice, get
finished first term new head teacher dharma primary school dharma first primary school united kingdom based buddhist value mindfulness heart practising buddhist loving kindness central personal practice school ethos forgiveness companion loving kindness believe world need forgiveness everyone make mistake part human condition many people tricky relationship mistake important teach child forgive forgive others making mistake part life learning process forgiveness help u develop compassion living being including buddhist meditation practice forgiveness three aspect first extending forgiveness others feel hurt harmed second ask forgiveness others behaviour third offer forgiveness forgiveness demand courage moving forward open heart free weight hurt guilt negativity fully present life practice regularly feel lighter muddy thought sifted settled thing feel clear forgiveness weak mean condone misdeed done way letting people walk u forgive forgiving forgetting ignoring consequence action others make commitment ensure thing happen important learn mistake responsible action address behaviour others forgiveness applying insight compassion oneself people order better understand wider human condition come peace long crucial aspect well personal sense world large information visit www dharmaschool co uk$forgiveness, mistake, buddhist, forgive, others
